"Statistic","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2006M08","National - houses","Base 2015=100","153"
"Residential Property Price Index","2006M08","National - apartments","Base 2015=100","182.5"
"Residential Property Price Index","2006M08","Dublin - all residential properties","Base 2015=100","157.9"
"Residential Property Price Index","2006M08","Dublin - houses","Base 2015=100","152.9"
"Residential Property Price Index","2006M08","Dublin - apartments","Base 2015=100","176.7"
"Residential Property Price Index","2006M08","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","National excluding Dublin - all residential properties","Base 2015=100","172.8"
"Residential Property Price Index","2006M08","National excluding Dublin - houses","Base 2015=100","169.9"
"Residential Property Price Index","2006M08","National excluding Dublin - apartments","Base 2015=100","225.7"
"Residential Property Price Index","2006M08","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M08","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","National - all residential properties","Base 2015=100","158.4"
"Residential Property Price Index","2006M09","National - houses","Base 2015=100","154.1"
"Residential Property Price Index","2006M09","National - apartments","Base 2015=100","185.5"
"Residential Property Price Index","2006M09","Dublin - all residential properties","Base 2015=100","158.2"
"Residential Property Price Index","2006M09","Dublin - houses","Base 2015=100","152.6"
"Residential Property Price Index","2006M09","Dublin - apartments","Base 2015=100","179.7"
"Residential Property Price Index","2006M09","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","National excluding Dublin - all residential properties","Base 2015=100","174.9"
"Residential Property Price Index","2006M09","National excluding Dublin - houses","Base 2015=100","171.9"
"Residential Property Price Index","2006M09","National excluding Dublin - apartments","Base 2015=100","229.7"
"Residential Property Price Index","2006M09","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M09","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","National - all residential properties","Base 2015=100","159.4"
"Residential Property Price Index","2006M10","National - houses","Base 2015=100","155.1"
"Residential Property Price Index","2006M10","National - apartments","Base 2015=100","186.9"
"Residential Property Price Index","2006M10","Dublin - all residential properties","Base 2015=100","159.3"
"Residential Property Price Index","2006M10","Dublin - houses","Base 2015=100","154.2"
"Residential Property Price Index","2006M10","Dublin - apartments","Base 2015=100","179.6"
"Residential Property Price Index","2006M10","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","National excluding Dublin - all residential properties","Base 2015=100","176"
"Residential Property Price Index","2006M10","National excluding Dublin - houses","Base 2015=100","172.8"
"Residential Property Price Index","2006M10","National excluding Dublin - apartments","Base 2015=100","233.5"
"Residential Property Price Index","2006M10","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M10","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","National - all residential properties","Base 2015=100","159.4"
"Residential Property Price Index","2006M11","National - houses","Base 2015=100","155.2"
"Residential Property Price Index","2006M11","National - apartments","Base 2015=100","187.8"
"Residential Property Price Index","2006M11","Dublin - all residential properties","Base 2015=100","158.7"
"Residential Property Price Index","2006M11","Dublin - houses","Base 2015=100","153.4"
"Residential Property Price Index","2006M11","Dublin - apartments","Base 2015=100","180.4"
"Residential Property Price Index","2006M11","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","National excluding Dublin - all residential properties","Base 2015=100","176.3"
"Residential Property Price Index","2006M11","National excluding Dublin - houses","Base 2015=100","173.3"
"Residential Property Price Index","2006M11","National excluding Dublin - apartments","Base 2015=100","232.5"
"Residential Property Price Index","2006M11","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M11","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","National - all residential properties","Base 2015=100","160.6"
"Residential Property Price Index","2006M12","National - houses","Base 2015=100","156.5"
"Residential Property Price Index","2006M12","National - apartments","Base 2015=100","189"
"Residential Property Price Index","2006M12","Dublin - all residential properties","Base 2015=100","158.9"
"Residential Property Price Index","2006M12","Dublin - houses","Base 2015=100","153.4"
"Residential Property Price Index","2006M12","Dublin - apartments","Base 2015=100","181.3"
"Residential Property Price Index","2006M12","Dublin City - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","Fingal - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","South Dublin - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","National excluding Dublin - all residential properties","Base 2015=100","178.4"
"Residential Property Price Index","2006M12","National excluding Dublin - houses","Base 2015=100","175.4"
"Residential Property Price Index","2006M12","National excluding Dublin - apartments","Base 2015=100","233.1"
"Residential Property Price Index","2006M12","Border - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","Midland - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","West - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","Mid-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","Mid-West - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","South-East - houses","Base 2015=100",""
"Residential Property Price Index","2006M12","South-West - houses","Base 2015=100",""
"Residential Property Price Index","2007M01","National - all residential properties","Base 2015=100","162"
"Residential Property Price Index","2007M01","National - houses","Base 2015=100","157.7"
"Residential Property Price Index","2007M01","National - apartments","Base 2015=100","190.9"
"Residential Property Price Index","2007M01","Dublin - all residential properties","Base 2015=100","159.2"
